keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
office pools guest,4400,15,0.03,LOW,navigational,,commercial office furniture
under desk treadmill,3600,3,1.05,HIGH,transactional,,commercial office furniture
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",commercial office furniture
small desk,3600,3,0.69,HIGH,transactional,,commercial office furniture
cocobolo desk,3600,0,0.34,MEDIUM,transactional,,commercial office furniture
monk office,3600,9,4.5,LOW,informational,navigational,commercial office furniture
lap desk,3600,0,0.46,HIGH,transactional,,commercial office furniture
desk mat,3600,0,0.82,HIGH,transactional,,commercial office furniture
reception desk,2900,0,4.37,HIGH,navigational,"informational,commercial",commercial office furniture
return to office,2900,0,,LOW,informational,,commercial office furniture
murphy bed with desk,2900,0,0.83,HIGH,transactional,,commercial office furniture
loft bed with desk,2900,0,0.79,HIGH,transactional,,commercial office furniture
kids desk,2900,0,0.75,HIGH,transactional,,commercial office furniture
the office grind,2900,0,0.05,LOW,informational,,commercial office furniture
wooden desk,2900,0,1.1,HIGH,transactional,,commercial office furniture
home office desk,2900,0,2.04,HIGH,transactional,,commercial office furniture
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",commercial office furniture
structube chairs,2900,0,0.28,HIGH,transactional,,commercial office furniture
toby office,2900,13,,LOW,navigational,,commercial office furniture
creed bratton office,2900,11,,LOW,navigational,,commercial office furniture
white desk,2400,0,1.04,HIGH,transactional,,commercial office furniture
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",commercial office furniture
lazyboy office chair,2400,0,1.5,HIGH,transactional,,commercial office furniture
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",commercial office furniture
the brick corporate office,2400,0,1.08,LOW,navigational,,commercial office furniture
desk treadmill,2400,1,0.83,HIGH,transactional,,commercial office furniture
home office ideas,1900,23,0.86,HIGH,informational,,commercial office furniture
desk with drawers,1900,0,0.9,HIGH,transactional,,commercial office furniture
stand up desk,1900,12,3.59,HIGH,transactional,,commercial office furniture
desk shelf,1900,0,0.69,HIGH,transactional,,commercial office furniture
secret labs desk,1900,19,0.65,HIGH,transactional,,commercial office furniture
your dream desk,1900,9,0.59,LOW,informational,"transactional,commercial",commercial office furniture
zoho desk,1900,33,30.07,LOW,transactional,,commercial office furniture
office unicity,1900,0,,LOW,navigational,,commercial office furniture
kids desk chair,1900,0,0.64,HIGH,transactional,,commercial office furniture
school desk,1900,0,1.17,MEDIUM,informational,"transactional,navigational",commercial office furniture
walmart desk,1900,0,0.18,HIGH,transactional,,commercial office furniture
home office,1900,50,1.53,HIGH,informational,,commercial office furniture
height adjustable desk,1900,3,1.61,HIGH,transactional,,commercial office furniture
staples desks,1900,5,1.27,HIGH,transactional,,commercial office furniture
office table,1900,0,1.87,HIGH,transactional,,commercial office furniture
structube desks,1900,0,0.67,HIGH,transactional,navigational,commercial office furniture
denis office supplies,1900,0,5.32,LOW,navigational,,commercial office furniture
office chair mat,1900,0,1.15,HIGH,transactional,,commercial office furniture
gabe office,1900,12,,LOW,navigational,,commercial office furniture
desk pad,1900,0,0.71,HIGH,transactional,,commercial office furniture
herman miller office chair,1900,6,1.78,HIGH,transactional,,commercial office furniture
wayfair desks,1600,0,1.11,HIGH,navigational,transactional,commercial office furniture
flexispot standing desk,1600,0,1.51,HIGH,transactional,,commercial office furniture
desk fan,1600,0,0.61,HIGH,transactional,,commercial office furniture
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,commercial office furniture
office background,1600,0,0.17,LOW,informational,commercial,commercial office furniture
heritage office furnishings,1600,8,12.49,LOW,navigational,,commercial office furniture
desk with hutch,1600,0,0.88,HIGH,transactional,,commercial office furniture
meredith office,1600,22,,LOW,navigational,,commercial office furniture
office chair sale,1600,0,1.03,HIGH,transactional,,commercial office furniture
bunk bed with desk,1600,0,0.64,HIGH,transactional,,commercial office furniture
metropolitan office,1600,17,,LOW,navigational,,commercial office furniture
writing desk,1600,0,0.85,HIGH,transactional,,commercial office furniture
study desk,1600,0,0.58,HIGH,transactional,informational,commercial office furniture
office cleaning,1600,16,7.44,LOW,informational,,commercial office furniture
out of office,1600,11,0.21,LOW,informational,,commercial office furniture
electric standing desk,1600,0,1.85,HIGH,transactional,,commercial office furniture
chair source,1600,0,4.54,HIGH,informational,,commercial office furniture
foot rest under desk,1600,0,0.71,HIGH,transactional,,commercial office furniture
monitor stand for desk,1600,0,1.19,HIGH,transactional,,commercial office furniture
secretary desk,1600,0,0.7,HIGH,transactional,,commercial office furniture
laptop stand for desk,1600,2,0.65,HIGH,transactional,,commercial office furniture
desk riser,1300,0,1.25,HIGH,transactional,,commercial office furniture
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,commercial office furniture
work desk,1300,0,1.31,HIGH,transactional,informational,commercial office furniture
office chair no wheels,1300,0,1.06,HIGH,transactional,,commercial office furniture
folding desk,1300,0,0.61,HIGH,transactional,,commercial office furniture
outlook out of office,1300,7,,LOW,informational,,commercial office furniture
walmart office chairs,1300,9,0.31,HIGH,transactional,,commercial office furniture
executive desk,1300,0,2.94,HIGH,navigational,informational,commercial office furniture
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",commercial office furniture
madill office,1300,0,21.84,LOW,navigational,,commercial office furniture
desk risers,1300,0,1.25,HIGH,transactional,,commercial office furniture
office cubicle,1300,0,12.02,HIGH,transactional,,commercial office furniture
suite office,1300,57,2.19,MEDIUM,navigational,,commercial office furniture
darryl office,1300,16,,LOW,navigational,,commercial office furniture
karen office,1300,9,,LOW,navigational,"informational,commercial",commercial office furniture
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",commercial office furniture
standing desk converter,1300,0,1.51,HIGH,transactional,,commercial office furniture
roll top desk,1300,0,0.54,HIGH,transactional,,commercial office furniture
office for men,1300,0,0.25,HIGH,informational,commercial,commercial office furniture
desk for sale,1300,0,1.26,HIGH,transactional,,commercial office furniture
office move pro,1300,5,3.63,LOW,transactional,commercial,commercial office furniture
standard desk height,1300,0,1.01,MEDIUM,informational,,commercial office furniture
office building,1000,11,3.75,LOW,informational,"navigational,commercial",commercial office furniture
wall mounted desk,1000,0,0.72,HIGH,transactional,,commercial office furniture
structube office chair,1000,0,0.55,HIGH,transactional,,commercial office furniture
makeup desks,1000,0,0.69,HIGH,transactional,"navigational,commercial",commercial office furniture
adjustable standing desk,1000,0,2.83,HIGH,transactional,,commercial office furniture
mose office,1000,4,,LOW,navigational,,commercial office furniture
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,commercial office furniture
vanity desk mirror,1000,0,0.67,HIGH,transactional,,commercial office furniture
vanity desk with mirror,1000,0,0.67,HIGH,transactional,,commercial office furniture
ergonomic desk,1000,0,2.76,HIGH,transactional,,commercial office furniture
bed desk,1000,0,0.43,HIGH,transactional,,commercial office furniture
floating desk,1000,0,0.57,HIGH,transactional,,commercial office furniture
the office dinner party,1000,16,,LOW,informational,,commercial office furniture
office chair amazon,1000,0,0.5,HIGH,transactional,,commercial office furniture
dinner party office,1000,9,,LOW,commercial,"informational,transactional",commercial office furniture
desk accessories,1000,0,0.89,HIGH,transactional,,commercial office furniture
gaming desks,1000,0,1.79,HIGH,transactional,,commercial office furniture
td return to office,1000,3,,LOW,informational,navigational,commercial office furniture
desk height,1000,0,1.6,HIGH,informational,transactional,commercial office furniture
desk calendar,1000,0,0.64,HIGH,transactional,informational,commercial office furniture
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,commercial office furniture
comfortable office chair,1000,14,1.51,HIGH,transactional,,commercial office furniture
desk with storage,1000,0,0.78,HIGH,transactional,,commercial office furniture
uplift desk,1000,17,1.68,HIGH,transactional,,commercial office furniture
dinner party the office,1000,15,,LOW,commercial,informational,commercial office furniture
desk foot rest,1000,0,0.71,HIGH,transactional,,commercial office furniture
makeup desk,1000,0,0.69,HIGH,transactional,,commercial office furniture
leather office chair,1000,0,2.25,HIGH,transactional,,commercial office furniture
small computer desk,1000,0,0.65,HIGH,transactional,,commercial office furniture
desk with bookshelf,1000,0,0.67,HIGH,transactional,,commercial office furniture
desk drawer,1000,0,1.02,HIGH,transactional,,commercial office furniture
sit stand desk canada,1000,0,5.5,HIGH,navigational,,commercial office furniture
office chair cushion,1000,0,0.7,HIGH,transactional,,commercial office furniture
white office chair,1000,0,1.45,HIGH,transactional,,commercial office furniture
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",commercial office furniture
desk for makeup,1000,0,0.69,HIGH,transactional,,commercial office furniture
best standing desk,880,8,5.64,HIGH,commercial,transactional,commercial office furniture
best buy office chairs,880,3,0.99,HIGH,transactional,,commercial office furniture
woodcroft strata office,880,0,7.93,LOW,navigational,,commercial office furniture
office trailer,880,0,11.48,MEDIUM,informational,commercial,commercial office furniture
meme office,880,0,,LOW,navigational,informational,commercial office furniture
corner desk small,880,0,0.82,HIGH,transactional,,commercial office furniture
home office chair,880,21,1.93,HIGH,transactional,,commercial office furniture
amazon desk,880,0,0.28,HIGH,navigational,transactional,commercial office furniture
wall desk,880,0,0.89,HIGH,transactional,,commercial office furniture
under desk drawer,880,0,1,HIGH,transactional,,commercial office furniture
indeed work from home,880,0,2.23,LOW,informational,,commercial office furniture
black desk,880,0,1.59,HIGH,transactional,,commercial office furniture
office chair ergonomic,880,11,2.64,HIGH,transactional,,commercial office furniture
oval office desk,880,13,1.11,LOW,navigational,,commercial office furniture
desk light,880,0,0.59,HIGH,transactional,,commercial office furniture
desk legs,880,0,0.54,HIGH,transactional,,commercial office furniture
dual monitor desk mount,880,2,1.39,HIGH,transactional,,commercial office furniture
used office furniture,880,0,2.41,MEDIUM,transactional,,commercial office furniture
supreme office supplies,880,4,2.17,LOW,navigational,transactional,commercial office furniture
best buy standing desk,880,0,0.47,HIGH,transactional,,commercial office furniture
l-shaped office desk,880,0,3.51,HIGH,transactional,,commercial office furniture
computer desk with drawers,880,0,0.91,HIGH,transactional,,commercial office furniture
office chair mat for carpet,880,0,0.9,HIGH,transactional,,commercial office furniture
office interiors,880,21,7.83,MEDIUM,informational,commercial,commercial office furniture
chaise de bureau costco,880,0,0.91,HIGH,transactional,,commercial office furniture
best office chairs canada,880,30,3.73,HIGH,commercial,,commercial office furniture
office decor ideas,880,8,0.72,HIGH,informational,,commercial office furniture
under desk bike,880,0,0.34,HIGH,transactional,,commercial office furniture
study chair,880,7,0.47,HIGH,transactional,,commercial office furniture
costco chaise de bureau,880,0,0.91,HIGH,transactional,,commercial office furniture
resolute desk,880,14,1.11,LOW,transactional,,commercial office furniture
computer desk canada,880,0,1.97,HIGH,navigational,,commercial office furniture
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",commercial office furniture
progressive desk,880,0,3.27,HIGH,transactional,,commercial office furniture
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,commercial office furniture
amazon standing desk,880,0,0.57,HIGH,transactional,,commercial office furniture
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",commercial office furniture
electric desk,720,0,1.15,HIGH,transactional,,commercial office furniture
standing desk with drawers,720,1,2.03,HIGH,transactional,,commercial office furniture
lumbar support for office chair,720,0,0.94,HIGH,transactional,,commercial office furniture
desk table,720,0,0.89,HIGH,transactional,,commercial office furniture
cheap office chairs,720,1,0.93,HIGH,transactional,,commercial office furniture
comfy office chair,720,7,0.9,HIGH,transactional,,commercial office furniture
